X,Y,index,h3_resolution,post_offices_count,postal_bank_count,road_length_km,cell_towers_count,population_count
-56.3371305188609,-6.81862712130446,848aa29ffffffff,4,0,0,1391.35311216786,,701.780164218449
-72.8678481992661,-5.48076207237965,848f6c3ffffffff,4,0,0,0,,648.234114890452
-44.0761673427455,-17.5877984349269,84a88bdffffffff,4,0,1,1063.80285340564,25,9102.57338310126
-51.8335229908833,-31.0902658938696,84a92adffffffff,4,1,1,1374.9339572769,116,8496.59611334093
-58.1741853643377,-1.45223581372905,848a883ffffffff,4,0,0,0,,10.6676104585022
-52.8867705326061,-27.9867021654405,84a9097ffffffff,4,3,9,4738.28950218981,242,48844.2753057294
-70.9096143434022,-5.66970840171549,848a61dffffffff,4,0,0,0,,19.2314762972419
-60.8879925140136,3.21432305643851,848adabffffffff,4,0,0,3001.23085944891,1,3461.79489242146
-54.4862242344413,-27.7548783947649,84a954bffffffff,4,2,5,7068.26265618989,471,105525.761526465
-38.5661246059386,-8.62576345291166,8481a95ffffffff,4,1,1,1645.53480347656,41,32321.9562998563
-64.781897142293,-7.97142116046952,848a2a9ffffffff,4,0,0,0,,52.6631091628224
-50.176064911571,-4.32862507651947,8480641ffffffff,4,0,0,1255.91372836581,18,14874.5075834394
-58.4639546786517,-5.24997381156219,848aaebffffffff,4,0,0,0,,0
-42.9447147124409,-13.6352954979805,848105dffffffff,4,0,1,2714.35464785151,44,30370.9917528424
-44.183340881266,-21.9797722696265,84a8aedffffffff,4,0,4,2822.0789916729,86,20192.4360557646
-65.3991367107723,-4.72976880912701,848a091ffffffff,4,0,0,1012.31671952644,,31.8727890086693
-54.482371935943,-13.3569730915881,848bb31ffffffff,4,0,0,941.580004984447,,146.911474527093
-72.0126471625117,-5.39932149426573,848f6d9ffffffff,4,0,0,0,,165.778944220503
-67.8998781541135,-6.10894627339853,848a755ffffffff,4,0,0,1.6936264164037,,937.247381947796
-51.3234430312359,-21.7623101649646,84a8085ffffffff,4,0,7,2658.11646427294,154,37818.2979197539
-60.2822112424906,-7.00704507712445,848a103ffffffff,4,0,0,144.911183069311,,143.665861158166
-50.5370029439013,-2.06421985657908,848063bffffffff,4,0,0,172.345299383655,,9943.71612150967
-63.3340645352853,-5.2330376902688,848a0adffffffff,4,0,0,0,,421.507567144465
-58.5689207260622,-4.51601142041381,848aa85ffffffff,4,0,0,0,,636.757245491448
-67.189683716692,-3.43888234912923,848a551ffffffff,4,0,0,0,,314.555113725713
-48.5596812347552,-3.28527358341208,848075bffffffff,4,0,0,717.433063219445,,5853.80604939349
-54.0364882817326,-4.94601321211955,848ab37ffffffff,4,0,0,0,,5.60729002994776
-49.1991319590334,-10.3699073484345,8481627ffffffff,4,0,2,1808.79067632438,39,10449.6955338754
-68.2845230293366,-9.90184987985474,848b5cdffffffff,4,0,0,2799.14273742827,,4031.88270862401
